TimeSec,BandwidthMbps
21.1,120349.35
21.1,124379.14
21.1,124199.31
21.1,123285.75
21.1,125012.69
21.1,122450.96
21.1,120180.97
21.1,124199.31
21.1,124469.26
21.1,123374.28
21.1,125035.44
21.1,124921.79
21.1,123175.26
21.1,121756.69
21.1,124649.88
21.1,120793.60
21.1,124921.79
21.1,125309.04
22.0,122016.12
22.0,124559.50
22.0,124649.88
22.0,118563.62
22.0,124649.88
22.0,123818.88
22.0,122450.96
22.0,123352.14
22.0,122016.12
22.0,120096.95
22.0,123908.18
22.0,117489.27
22.0,114208.87
22.0,124559.50
22.0,124559.50
22.0,119908.35
22.0,124266.68
22.0,124649.88
22.0,120623.97
22.0,124469.26
22.0,124469.26
22.0,121134.28
22.0,124446.72
22.0,124379.14
22.0,120793.60
22.0,123908.18
22.0,122102.84
22.0,124559.50
22.0,124649.88
22.0,122625.76
22.0,123263.64
22.0,124469.26
22.0,120518.20
22.0,124559.50
22.0,124469.26
22.0,123640.66
22.0,124087.17
22.1,124176.86
22.1,121670.46
22.1,124649.88
22.1,124356.64
22.1,123908.18
22.1,123997.61
22.1,124289.16
22.1,120878.59
22.1,124559.50
22.1,124087.17
22.1,123529.53
22.1,124176.86
22.1,124446.72
22.1,123263.64
22.1,124627.27
22.1,122102.84
22.1,124087.17
22.1,124199.31
22.1,124649.88
22.1,123930.53
22.1,124740.38
22.1,122363.74
22.1,123796.57
22.1,123908.18
22.1,124627.27
22.1,122910.89
22.1,124627.27
22.1,123640.66
22.1,123285.75
22.1,120096.95
22.1,121648.92
22.1,122450.96
22.1,122735.27
22.1,121391.06
22.1,121476.89
22.1,124176.86
23.0,122998.88
23.0,123352.14
23.0,122998.88
23.0,123175.26
23.0,124087.17
23.0,123818.88
23.0,122910.89
23.0,124536.93
23.0,123908.18
23.0,123908.18
23.0,124469.26
23.0,121843.04
23.0,120349.35
23.0,121134.28
23.0,124266.68
23.0,122647.65
23.0,124469.26
23.0,122016.12
23.0,123997.61
23.0,124921.79
23.0,124087.17
23.0,116830.12
23.0,120433.71
23.0,118563.62
23.0,118135.60
23.0,120013.06
23.0,118912.40
23.0,118912.40
23.0,117811.55
23.0,121048.93
23.0,124469.26
23.0,124831.02
23.0,120793.60
23.0,124536.93
23.0,124921.79
23.0,119159.83
23.1,124469.26
23.1,124649.88
23.1,121134.28
23.1,122102.84
23.1,123440.77
23.1,121562.85
23.1,123087.01
23.1,120687.53
23.1,119574.52
23.1,123440.77
23.1,123263.64
23.1,122276.65
23.1,124289.16
23.1,122102.84
23.1,118809.61
23.1,124649.88
23.1,120180.97
23.1,123997.61
23.1,122016.12
23.1,120963.70
23.1,124176.86
23.1,121305.34
23.1,118216.89
23.1,124356.64
23.1,124176.86
23.1,121048.93
23.1,124109.58
23.1,124649.88
23.1,122450.96
23.1,122910.89
23.1,124289.16
23.1,120180.97
23.1,123087.01
23.1,123087.01
23.1,123818.88
23.1,124740.38
23.1,118912.40
24.0,118237.23
24.0,123908.18
24.0,122625.76
